中央    cnr     d_center
北京    bj      d_beijing
天津    tj      d_tianjing
上海    sh      d_shanghai
重庆    cq      d_chongqing
广东    gd      d_guangdong
浙江    zj      d_zhejiang
江苏    js      d_jiangsu
湖南    hunan   d_hunan
四川    sc      d_sichuan
河南    henan   d_henan
湖北    hubei   d_hubei
黑龙江  hlj     d_heilongjiang
辽宁    ln      d_liaoning
河北    hebei   d_hebei
山东    sd      d_shandong
安徽    ah      d_anhui
福建    fj      d_fujian
广西    gx      d_guangxi
贵州    gz      d_guizhou
云南    yn      d_yunnan
江西    jx      d_jiangxi
吉林    jilin   d_jilin
甘肃    gs      d_gansu
陕西    sx      d_sx
海南    hainan  d_hainan
宁夏    nx      d_ningxia
内蒙古  nmg     d_neimenggu
新疆    xj      d_xinjiang
青海    qh      d_qinghai
西藏    xz      d_xizang
